num_decks,random_seed,method,storage_bytes,memory_bytes,time_taken
100000,500,method_2_funct,2026674,800000,0.992785
100000,501,method_1_funct,825372,5200000,1.869495
100000,501,method_2_funct,2026671,800000,1.000603
100000,502,method_1_funct,825878,5200000,1.923302
100000,502,method_2_funct,2026569,800000,0.993620
100000,503,method_1_funct,825695,5200000,1.871304
100000,503,method_2_funct,2026701,800000,0.973899
100000,504,method_1_funct,825657,5200000,1.872378
100000,504,method_2_funct,2026859,800000,0.996819
100000,505,method_1_funct,825866,5200000,1.865001
100000,505,method_2_funct,2026968,800000,0.981595
